Show X Axis Title,,,,,,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES
Show Y Axis Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines To Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Format 1,Format 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start of Data,X-axis,X-axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-09-05 02:17,2019-09-04-27.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day27_cc2_1/2,Benzene,2.57,20.01,ppb,1895197.218,Area,Toluene,3.68,1.33,ppb,133513.161,Area,Ethylbenzene,5.61,0.57,ppb,66836.8,Area,"(m,p)Xylene",5.78,1.04,ppb,238250.034,Area,o-Xylene,6.36,1.43,ppb,183457.198,Area
,2019-09-05 02:44,2019-09-04-28.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 03:11,2019-09-04-29.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 03:40,2019-09-04-30.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day20_db1_1/2,Benzene,2.57,362.72,ppb,34352563.71,Area,Toluene,3.64,31.76,ppb,3274871.875,Area,Ethylbenzene,5.61,0.22,ppb,22872.533,Area,"(m,p)Xylene",5.77,13.5,ppb,3371592.713,Area,o-Xylene,6.36,7.99,ppb,1030669.15,Area
,2019-09-05 04:07,2019-09-04-31.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.22,ppb,20907.953,Area,Toluene,3.65,0.11,ppb,7390.028,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.74,0.13,ppb,9942.461,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 04:33,2019-09-04-32.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.57,0.09,ppb,8913.674,Area,Toluene,3.59,0.09,ppb,5687.431,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.8,0.13,ppb,9835.026,Area,o-Xylene,6.34,0.04,ppb,4154.444,Area
,2019-09-05 05:02,2019-09-04-33.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day27_db1_1/2,Benzene,2.56,11.17,ppb,1058310.742,Area,Toluene,3.63,3.18,ppb,324385.527,Area,Ethylbenzene,5.62,0.44,ppb,50370.487,Area,"(m,p)Xylene",5.91,0.36,ppb,68101.375,Area,o-Xylene,6.35,8.49,ppb,1094468.513,Area
,2019-09-05 05:30,2019-09-04-34.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.04,ppb,4217.081,Area,Toluene,3.68,0.16,ppb,12556.321,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 05:57,2019-09-04-35.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 06:24,2019-09-04-36.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day27_db1_2/2,Benzene,2.57,10.35,ppb,980369.64,Area,Toluene,3.66,3.45,ppb,352210.125,Area,Ethylbenzene,5.61,0.57,ppb,66865.442,Area,"(m,p)Xylene",5.92,0.34,ppb,61878,Area,o-Xylene,6.36,8.39,ppb,1081639.685,Area
,2019-09-05 06:51,2019-09-04-37.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 07:17,2019-09-04-38.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,0,0,ppb,0,Area,Toluene,0,0,ppb,0,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 07:44,2019-09-04-39.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day20_db2_1/2,Benzene,2.58,1375.46,ppb,139621704.4,Area,Toluene,3.64,792.02,ppb,83880914.53,Area,Ethylbenzene,5.6,16.53,ppb,329840.182,Area,"(m,p)Xylene",5.78,17.95,ppb,1687493.86,Area,o-Xylene,6.37,14.39,ppb,340170.882,Area
,2019-09-05 07:44,2019-09-04-39.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day20_db2_1/2,Benzene,2.58,1474.22,ppb,139621704.4,Area,Toluene,3.64,812.47,ppb,83880914.53,Area,Ethylbenzene,5.6,2.66,ppb,329840.182,Area,"(m,p)Xylene",5.78,6.8,ppb,1687493.86,Area,o-Xylene,6.37,2.64,ppb,340170.882,Area
,2019-09-05 08:11,2019-09-04-40.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.81,ppb,76289.938,Area,Toluene,3.64,0.57,ppb,55055.25,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 08:38,2019-09-04-41.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.56,0.18,ppb,17294.868,Area,Toluene,3.63,0.17,ppb,13391.04,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 09:07,2019-09-04-42.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day27_db2_1/2,Benzene,2.56,8.21,ppb,777945.908,Area,Toluene,3.64,1.62,ppb,163399.379,Area,Ethylbenzene,5.61,0.69,ppb,82478.503,Area,"(m,p)Xylene",5.9,0.32,ppb,56092.75,Area,o-Xylene,6.35,5.75,ppb,740649.008,Area
,2019-09-05 09:36,2019-09-04-43.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.57,0.09,ppb,8344.154,Area,Toluene,3.66,0.12,ppb,8327.047,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-05 10:03,2019-09-04-44.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.06,ppb,5525.064,Area,Toluene,3.64,0.09,ppb,5593.074,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",0,0,ppb,0,Area,o-Xylene,0,0,ppb,0,Area
,2019-09-17 10:39,2019-09-17-01.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.58,0.63,ppb,59905.083,Area,Toluene,3.66,1.07,ppb,106271.5,Area,Ethylbenzene,5.6,1.51,ppb,185705.676,Area,"(m,p)Xylene",5.76,2.69,ppb,654345.665,Area,o-Xylene,6.36,1.07,ppb,137144.906,Area
,2019-09-17 11:06,2019-09-17-02.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.56,0.12,ppb,10954.693,Area,Toluene,3.66,0.22,ppb,19213.548,Area,Ethylbenzene,5.58,0.21,ppb,21155.826,Area,"(m,p)Xylene",5.75,0.32,ppb,58380.52,Area,o-Xylene,6.35,0.17,ppb,21697.624,Area
,2019-09-17 11:35,2019-09-17-03.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.57,0.07,ppb,7036.404,Area,Toluene,3.66,0.14,ppb,10198.704,Area,Ethylbenzene,5.58,0.11,ppb,9087.451,Area,"(m,p)Xylene",5.75,0.2,ppb,27288.944,Area,o-Xylene,6.36,0.12,ppb,14483.076,Area
,2019-09-17 12:52,2019-09-17-06.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.59,0.17,ppb,15697.12,Area,Toluene,3.67,0.3,ppb,27410.908,Area,Ethylbenzene,5.61,0.32,ppb,35801.229,Area,"(m,p)Xylene",5.78,0.51,ppb,104919.875,Area,o-Xylene,6.37,0.2,ppb,24645.5,Area
,2019-09-17 15:09,2019-09-17-09.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk_5min_bake,Benzene,2.58,0.06,ppb,5671.5,Area,Toluene,3.65,0.13,ppb,9152.627,Area,Ethylbenzene,5.62,0.1,ppb,7392.437,Area,"(m,p)Xylene",5.77,0.21,ppb,29481.178,Area,o-Xylene,6.38,0.06,ppb,6786.682,Area
,2019-09-17 15:35,2019-09-17-10.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day13_DI_TAP_2/2,Benzene,2.55,1.79,ppb,169430.852,Area,Toluene,3.65,0.12,ppb,8864.283,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.78,0.14,ppb,11840.525,Area,o-Xylene,6.34,0.05,ppb,5939.476,Area
,2019-09-17 16:05,2019-09-17-11.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,blk,Benzene,2.55,0.05,ppb,5088.22,Area,Toluene,3.69,0.12,ppb,8940.008,Area,Ethylbenzene,0,0,ppb,0,Area,"(m,p)Xylene",5.77,0.17,ppb,19121.614,Area,o-Xylene,6.36,0.08,ppb,9326.547,Area
